外送平台,影音娛樂,網路購物,行動支付,超商,Cluster
7.0,0.0,7.0,7.0,0.0,0
5.0,2.92,5.07,1.73,5.0,0
0.6,0.1,0.6,1.27,0.0,3
1.0,3.73,2.0,1.0,11.75,0
10.0,0.15,10.0,1.05,10.0,2
3.75,10.67,3.21,0.27,6.0,0
6.0,6.0,4.46,1.55,5.0,0
7.0,4.67,2.0,2.0,0.0,0
5.0,3.0,2.43,1.0,0.0,3
1.0,1.0,1.0,1.0,0.0,3
1.0,2.0,1.0,1.36,2.5,3
3.5,1.88,3.29,2.14,0.0,3
4.0,1.5,4.0,4.0,0.75,3
0.3,0.3,0.3,0.45,0.0,3
3.5,1.88,3.29,2.14,0.0,3
1.0,3.07,1.0,1.0,0.0,3
10.0,0.0,10.0,8.18,10.0,2
3.0,6.5,3.0,3.0,3.75,0
1.1,0.18,1.1,1.91,0.0,3
1.0,2.88,1.0,1.0,0.0,3
10.0,7.17,8.57,1.82,0.0,0
6.5,2.58,5.64,3.23,6.5,0
6.0,7.5,5.14,1.0,0.75,0
0.8,1.47,0.8,0.8,0.8,3
22.0,0.05,15.8,1.82,12.75,2
1.5,3.25,6.36,1.5,3.75,0
0.5,1.5,1.29,0.5,0.0,3
1.0,3.0,1.43,0.36,0.0,3
3.0,3.0,3.0,6.09,0.0,3
20.0,15.0,5.0,3.96,20.0,2
3.8,0.8,2.51,2.55,0.0,3
0.0,0.0,0.0,0.0,0.0,3
3.0,11.33,2.43,2.27,3.0,0
0.6,2.18,0.6,1.45,0.0,3
1.0,2.17,1.14,2.82,2.0,3
5.0,5.0,5.0,1.36,5.0,0
1.0,3.08,1.0,1.0,0.0,3
2.0,3.0,2.0,2.0,0.0,3
0.5,0.0,3.0,0.5,0.0,3
3.0,2.75,3.0,3.91,5.0,0
0.9,2.23,0.9,0.9,1.25,3
0.0,0.0,2.86,0.91,0.0,3
6.0,2.0,1.0,2.82,6.0,0
8.0,6.17,2.5,1.09,8.0,0
0.5,1.5,0.5,0.5,0.5,3
1.0,1.0,1.71,1.0,3.75,3
1.0,1.0,1.0,1.09,0.0,3
1.0,0.0,1.0,8.18,5.0,3
1.2,2.03,1.2,1.27,0.0,3
0.3,0.0,0.3,0.3,3.75,3
0.0,0.0,0.0,0.0,6.25,3
1.5,1.5,1.5,1.5,0.0,3
1.0,1.83,1.0,1.0,0.0,3
0.0,0.0,0.0,0.0,0.0,3
0.25,1.29,0.25,0.25,0.0,3
1.2,3.53,1.2,1.2,3.75,3
0.0,1.42,0.0,0.0,2.75,3
0.6,3.0,1.0,3.16,0.0,3
1.22,2.89,1.22,1.22,0.0,3
4.0,2.0,4.29,2.36,6.0,0
1.0,1.0,3.0,1.0,1.0,3
1.0,10.0,1.0,3.45,10.0,0
1.0,1.18,1.0,1.0,0.0,3
0.0,0.0,0.0,0.0,0.0,3
0.5,0.5,2.86,0.5,0.0,3
1.0,2.72,1.0,1.0,0.0,3
0.5,0.5,0.5,0.5,0.0,3
0.5,2.0,0.5,0.5,0.0,3
0.2,0.2,1.86,0.2,0.0,3
2.1,2.1,2.1,3.42,5.0,3
1.2,1.7,1.2,1.2,1.2,3
0.65,0.65,0.84,0.77,0.0,3
0.0,0.0,0.0,0.0,0.0,3
10.0,3.0,8.0,3.36,10.0,2
0.6,1.35,0.8,2.49,2.0,3
1.23,2.99,1.34,3.01,2.0,3
1.0,4.0,1.0,1.55,0.0,3
10.0,6.17,1.0,1.0,0.75,0
0.17,0.03,0.17,0.17,0.0,3
6.0,9.33,5.14,1.57,6.25,0
0.5,1.33,0.5,0.5,0.0,3
0.0,0.0,0.0,0.0,0.0,3
0.3,0.3,0.3,0.3,0.52,3
1.2,1.7,1.2,1.2,1.2,3
0.5,0.5,1.86,1.73,0.0,3
0.5,0.5,1.86,1.64,0.0,3
0.7,0.7,0.89,0.7,3.75,3
0.3,0.3,0.3,0.3,0.3,3
0.8,1.8,0.8,1.45,0.0,3
0.5,1.75,2.07,0.5,0.0,3
2.0,2.0,2.0,2.0,0.0,3
1.0,1.17,1.0,1.0,0.0,3
1.0,1.0,1.0,1.0,1.0,3
1.0,2.0,1.0,1.0,0.0,3
1.5,2.33,1.57,1.55,0.0,3
1.5,2.33,1.57,1.55,0.0,3
1.0,1.0,1.0,1.0,0.0,3
3.0,3.0,3.86,3.0,0.0,3
1.0,2.0,3.14,1.18,0.0,3
1.3,1.78,1.13,1.47,1.3,3
0.2,0.2,0.2,0.36,0.0,3
1.0,2.5,1.0,1.0,5.0,3
10.0,6.17,1.0,1.0,0.75,0
5.0,0.0,0.0,0.64,0.0,3
2.0,2.0,2.0,2.0,2.0,3
0.5,0.08,0.5,0.5,0.0,3
0.5,1.75,1.07,0.64,0.0,3
0.5,0.5,1.0,0.5,0.0,3
1.0,1.0,2.43,1.0,1.5,3
2.0,2.83,4.14,2.0,1.25,3
2.0,2.5,2.0,2.0,2.0,3
8.0,8.0,5.43,1.73,5.0,0
0.4,1.73,0.63,0.55,0.0,3
0.7,0.7,0.7,0.7,3.75,3
1.2,2.03,1.2,1.2,3.75,3
1.2,3.53,1.2,1.2,0.0,3
6.0,1.0,5.29,1.91,6.0,0
0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,3
1.2,1.2,1.2,1.2,1.2,3
8.0,3.0,6.96,5.35,8.0,0
1.3,33.5,1.19,1.42,1.3,1
